Time (s),Voltage (V)
87.73,-59.26
87.83,-59.54
87.94,-59.54
88.04,-59.26
88.14,-59.54
88.24,-59.26
88.34,-59.26
88.44,-59.26
88.54,-58.98
88.64,-59.26
88.74,-59.54
88.94,-59.26
89.05,-59.26
89.15,-59.26
89.25,-59.26
89.35,-58.98
89.45,-58.98
89.55,-59.26
89.65,-59.26
89.75,-58.71
89.85,-58.98
89.95,-59.26
90.05,-59.54
90.16,-59.26
90.36,-58.98
90.46,-59.26
90.56,-59.26
90.66,-59.26
90.76,-58.98
90.86,-58.98
90.96,-58.98
91.06,-59.26
91.17,-59.26
91.27,-58.71
91.37,-59.26
91.47,-59.26
91.67,-58.98
91.77,-59.26
91.87,-59.26
91.97,-58.98
92.07,-58.98
92.18,-58.98
92.28,-58.98
92.38,-59.26
92.48,-58.98
92.58,-58.98
92.68,-58.98
92.78,-59.26
92.98,-59.26
93.08,-58.98
93.19,-58.98
93.29,-59.26
93.39,-59.54
93.49,-58.71
93.59,-58.98
93.69,-58.71
93.79,-58.98
93.89,-59.26
93.99,-58.71
94.09,-58.98
94.3,-58.98
94.4,-58.71
94.5,-58.71
94.6,-58.98
94.7,-58.98
94.8,-59.26
94.9,-58.71
95.0,-58.98
95.1,-58.98
95.2,-58.98
95.31,-58.71
95.41,-58.98
95.61,-58.98
95.71,-58.98
95.81,-58.98
95.91,-58.98
96.01,-58.71
96.11,-59.26
96.21,-58.98
96.32,-58.71
96.42,-59.26
96.52,-58.71
96.62,-58.71
96.72,-58.98
96.82,-59.26
97.02,-58.98
97.12,-58.98
97.22,-58.71
97.33,-58.71
97.43,-58.71
97.53,-58.98
97.63,-59.26
97.73,-58.98
97.83,-58.71
97.93,-58.98
98.03,-59.26
98.13,-58.71
98.33,-58.71
98.44,-58.98
98.54,-58.71
98.64,-58.98
98.74,-58.98
98.84,-58.71
98.94,-59.26
99.04,-58.71
99.14,-58.71
99.24,-58.71
99.34,-58.43
99.44,-58.98
99.65,-58.71
99.75,-58.71
99.85,-58.43
99.95,-58.98
100.05,-58.98
100.15,-58.71
100.25,-58.71
100.36,-58.71
100.45,-58.98
100.56,-58.71
100.66,-58.71
100.76,-58.71
100.96,-58.71
101.06,-58.98
101.16,-58.43
101.26,-58.71
101.36,-58.71
101.47,-58.71
101.57,-58.98
