Time (s),Voltage (V)
89.41,-3.59
89.51,-4.14
89.61,-3.87
89.71,-4.14
89.82,-4.14
89.92,-4.14
90.02,-3.87
90.12,-3.59
90.22,-4.14
90.32,-4.14
90.42,-4.14
90.52,-3.87
90.62,-3.31
90.72,-3.87
90.82,-3.59
90.93,-3.87
91.03,-3.59
91.13,-3.87
91.23,-3.87
91.33,-3.59
91.43,-3.87
91.53,-3.87
91.63,-3.87
91.73,-4.42
91.83,-3.87
91.94,-4.14
92.04,-3.87
92.14,-3.59
92.24,-3.87
92.34,-3.87
92.44,-3.59
92.54,-3.59
92.64,-3.87
92.74,-3.87
92.84,-3.87
92.94,-4.42
93.05,-3.87
93.15,-3.87
93.25,-3.87
93.35,-3.59
93.45,-4.14
93.55,-3.87
93.65,-3.87
93.75,-3.59
93.85,-3.87
93.95,-3.87
94.05,-4.42
94.16,-3.59
94.26,-3.87
94.36,-3.87
94.46,-4.14
94.56,-3.87
94.66,-4.14
94.76,-3.87
94.86,-3.59
94.96,-4.14
95.06,-3.87
95.16,-3.87
95.27,-3.59
95.37,-4.14
95.47,-3.87
95.57,-3.31
95.67,-3.87
95.77,-4.14
95.87,-3.87
95.97,-3.59
96.07,-3.31
96.18,-3.87
96.28,-3.87
96.38,-3.87
96.48,-4.42
96.58,-4.14
96.68,-3.87
96.78,-3.87
96.88,-3.59
96.98,-3.87
97.08,-3.59
97.18,-21.68
97.29,-173.96
97.39,-174.79
97.49,-173.68
97.59,-172.29
97.69,-170.62
97.79,-170.06
97.89,-169.5
97.99,-168.39
98.09,-167.83
98.19,-167.83
98.29,-167
98.4,-166.72
98.5,-166.16
98.6,-165.61
98.7,-165.05
98.8,-164.77
98.9,-163.93
99,-163.38
99.1,-163.66
99.2,-163.1
99.3,-162.54
99.41,-161.99
99.51,-161.43
99.61,-161.43
99.71,-161.15
99.81,-160.87
99.91,-160.87
100.01,-160.32
100.11,-160.04
100.21,-159.76
100.32,-159.76
100.42,-159.2
100.52,-158.65
100.62,-158.37
100.72,-158.09
100.82,-157.81
100.92,-157.81
101.02,-156.98
101.12,-156.98
101.22,-156.98
101.33,-156.42
101.43,-156.7
101.53,-156.42
101.63,-156.7
101.73,-155.86
101.83,-155.58
101.93,-155.58
102.03,-155.58
102.13,-155.03
102.24,-155.31
102.34,-155.03
102.44,-153.91
102.54,-153.91
102.64,-154.19
102.74,-153.63
102.84,-153.63
102.94,-153.91
103.04,-153.63
103.14,-153.08
103.25,-153.08
103.35,-153.08
103.45,-152.8
103.55,-152.52
103.65,-152.52
103.75,-151.96
103.85,-151.96
103.95,-152.24
104.05,-151.96
104.16,-151.41
104.26,-151.41
104.36,-151.13
104.46,-150.57
104.56,-150.57
104.66,-150.85
104.76,-150.29
104.86,-150.57
104.96,-150.29
105.06,-150.02
105.17,-150.02
105.27,-150.02
105.37,-150.02
105.47,-149.18
105.57,-149.46
105.67,-149.18
105.77,-148.62
105.87,-148.62
105.97,-148.62
106.08,-148.62
106.18,-148.62
106.28,-148.07
106.38,-148.62
106.48,-148.07
106.58,-148.07
106.68,-148.07
106.78,-147.51
106.88,-147.23
106.98,-147.79
107.09,-147.23
107.19,-146.95
107.29,-146.95
107.39,-146.68
107.49,-146.68
107.59,-146.4
107.69,-146.68
107.79,-146.68
107.89,-145.84
108,-146.12
108.1,-145.84
108.2,-145.56
108.3,-146.12
108.4,-145.56
108.5,-145.28
108.6,-145.28
108.7,-145.56
108.8,-145.28
108.9,-145
109.01,-144.73
109.11,-144.73
109.21,-144.45
109.31,-144.45
109.41,-144.45
109.51,-144.17
109.61,-144.17
109.71,-144.17
109.81,-143.89
109.92,-143.89
110.02,-143.89
110.12,-143.61
110.22,-143.89
110.32,-143.61
110.42,-143.33
110.52,-143.61
110.62,-143.61
110.72,-143.33
110.83,-142.78
110.93,-142.5
111.03,-142.5
111.13,-142.22
111.23,-142.78
111.33,-142.5
